"","gbifID","species","decimalLatitude","decimalLongitude","elevation"
"199",441685769,"Amelanchier alnifolia",47.057786,-120.650372,491
"200",441685763,"Amelanchier alnifolia",46.5,-119.716667,579
"201",441685752,"Amelanchier alnifolia",48.427083,-122.889233,9
"202",441685751,"Amelanchier alnifolia",48.458333,-122.943817,6.5
"203",441685750,"Amelanchier alnifolia",48.465367,-122.838067,12.5
"204",441685749,"Amelanchier alnifolia",48.479967,-122.829217,7.5
"205",441685692,"Amelanchier alnifolia",48.423317,-122.850633,10
"206",441685687,"Amelanchier alnifolia",48.42104,-122.82176,30
"207",441685256,"Amelanchier alnifolia",47.685475,-123.094404,213
"208",441685246,"Amelanchier alnifolia",48.883298,-121.028717,549
"209",441685240,"Amelanchier alnifolia",47.366667,-121.551389,1128
"210",441685238,"Amelanchier alnifolia",47.348333,-121.508333,1463
"211",441685236,"Amelanchier alnifolia",47.348833,-121.501433,1497
"212",441685234,"Amelanchier alnifolia",47.478972,-121.791394,630
"213",441685232,"Amelanchier alnifolia",45.981783,-121.125033,345
"214",441685177,"Amelanchier alnifolia",46.5,-119.716667,640
"215",441685122,"Amelanchier alnifolia",48.9169,-121.077367,620
"216",441685121,"Amelanchier alnifolia",45.948667,-121.719433,915
"217",4028792531,"Amelanchier alnifolia",47.247016,-122.510892,90
"218",4028750715,"Amelanchier alnifolia",48.39784,-123.304641,14
"219",4028714860,"Amelanchier alnifolia",52.376314,-123.573219,1090
"220",4028692452,"Amelanchier alnifolia",45.713342,-121.363158,92
"221",4028682899,"Amelanchier alnifolia",45.723369,-121.708017,701
"222",4028650704,"Amelanchier alnifolia",51.895146,-121.532186,963
"223",4028626725,"Amelanchier alnifolia",48.397382,-123.304597,14
"224",4028597844,"Amelanchier alnifolia",49.325245,-124.266122,3
"225",4028597108,"Amelanchier alnifolia",51.836945,-122.549774,589
"226",4022245479,"Amelanchier alnifolia",50.849667,-121.227234,1147
"227",4022206783,"Amelanchier alnifolia",49.291936,-122.773056,37
"228",4022202687,"Amelanchier alnifolia",49.057673,-122.878448,4
"229",4022186723,"Amelanchier alnifolia",49.707158,-121.414716,100
"230",4022181722,"Amelanchier alnifolia",49.030316,-121.996653,256
"231",4022158151,"Amelanchier alnifolia",48.427425,-122.888908,1
"232",4022082655,"Amelanchier alnifolia",50.841728,-121.224335,827
"233",4022068049,"Amelanchier alnifolia",52.917224,-118.800382,1036
