gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2422874922,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/30796341,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.03992,-121.819405,5,,,,,,2019-08-09T11:59:47,9,8,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,30796341,,Alex Wright,2019-08-14T21:31:22,CC_BY_NC_4_0,Damon Tighe,Damon Tighe,,,2023-02-13T16:01:19.444Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422872388,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/30516436,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.895448,-122.133416,193,,,,,,2019-07-25T17:22:00,25,7,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,30516436,,Sharleen,2019-08-10T01:42:30,CC_BY_NC_4_0,Sharleen,Sharleen,,,2023-02-13T16:10:02.123Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422865174,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/29744757,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.624167,-122.017222,,,,,,,2019-07-21T16:14:00,21,7,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,29744757,,Bruce Newhouse,2019-07-28T22:29:31,CC_BY_NC_4_0,Bruce Newhouse,Bruce Newhouse,,,2023-02-13T16:09:51.299Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422861134,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/29227642,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.40381,-121.765968,20566,,,,,,2019-07-20T14:30:32,20,7,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,29227642,,Matt Reala,2019-07-21T08:12:00,CC_BY_NC_4_0,Matt Reala,Matt Reala,,,2023-02-13T16:01:11.597Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422850297,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/27230883,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.33094,-121.628738,,,,,,,2019-06-16T13:36:10,16,6,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,27230883,,oxalismtp,2019-06-18T20:34:54,CC_BY_NC_4_0,oxalismtp,oxalismtp,,,2023-02-13T16:00:49.644Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422849711,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/27111789,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Washington,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,46.796626,-121.732566,5000,,,,,,2016-08-05T12:29:00,5,8,2016,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,27111789,,Douglas Goldman,2019-09-26T15:06:20,CC_BY_NC_4_0,runcator,runcator,,,2023-02-13T16:00:56.523Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
2422817423,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16142721,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.089656,-123.37703,5,,,,,,2018-09-01T14:52:01,1,9,2018,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,16142721,,maureen-j-jules,2018-09-02T19:33:52,CC_BY_NC_4_0,maureen-j-jules,maureen-j-jules,,,2023-02-13T16:00:26.998Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422813103,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/13490842,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.092731,-122.257058,,,,,,,2018-06-13T15:54:00,13,6,2018,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,13490842,,Alex Wright,2018-06-16T20:34:31,CC_BY_NC_4_0,Alex Wright,Alex Wright,,,2023-02-13T16:00:21.524Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422425317,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-170164,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,A. Gray,US,Forest Road 60 at Dry Creek Bridge,Washington,PRESENT,,53e59855-7653-4d3e-87cc-162021713823,46.94867,-121.71943,,,,,,,2001-06-16T00:00:00,16,6,2001,2997456,2997456,PRESERVED_SPECIMEN,UCR,,,01--141,Suzanne Bagshaw,,CC_BY_NC_4_0,,Don Knoke,,,2023-02-09T13:54:59.027Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2422339353,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-95195,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,A. Gray,US,Siskiyou Mountains: West Fork Clear Creek,California,PRESENT,,53e59855-7653-4d3e-87cc-162021713823,41.70461,-123.641,,,1433,,,,1963-08-29T00:00:00,29,8,1963,2997456,2997456,PRESERVED_SPECIMEN,UCR,,UCR0045004,8307,,,CC_BY_NC_4_0,,Louis C. Wheeler,,,2023-02-09T13:55:06.464Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
