gbifID,species,decimalLatitude,decimalLongitude,elevation
441685837,Amelanchier alnifolia,47.60639,-122.33083,64
441685836,Amelanchier alnifolia,47.60639,-122.33083,64
441685835,Amelanchier alnifolia,47.60639,-122.33083,64
441685833,Amelanchier alnifolia,47.4275,-117.37917,740
441685832,Amelanchier alnifolia,47.60639,-122.33083,64
441685822,Amelanchier alnifolia,47.905004,-120.520078,1454
441685804,Amelanchier alnifolia,45.69861,-121.735,35
441685802,Amelanchier alnifolia,48.99308,-117.30244,793
441685801,Amelanchier alnifolia,46.74942,-121.24936,1949
441685800,Amelanchier alnifolia,46.74942,-121.24936,1949
441685799,Amelanchier alnifolia,47.595991,-120.447236,1079
441685798,Amelanchier alnifolia,48.592222,-123.031944,6
441685797,Amelanchier alnifolia,45.715,-121.46333,44
441685794,Amelanchier alnifolia,46.995886,-120.971168,1743
441685793,Amelanchier alnifolia,46.74942,-121.24936,610
441685792,Amelanchier alnifolia,45.57278,-122.19389,4
441685791,Amelanchier alnifolia,47.4275,-117.37917,740
441685790,Amelanchier alnifolia,46.235384,-120.418937,305
441685788,Amelanchier alnifolia,47.60639,-122.33083,64
441685785,Amelanchier alnifolia,48.99308,-117.30244,793
441685776,Amelanchier alnifolia,47.17056,-122.93073,33
441685769,Amelanchier alnifolia,47.057786,-120.650372,491
441685763,Amelanchier alnifolia,46.5,-119.716667,579
441685752,Amelanchier alnifolia,48.427083,-122.889233,9
441685751,Amelanchier alnifolia,48.458333,-122.943817,6.5
441685750,Amelanchier alnifolia,48.465367,-122.838067,12.5
441685749,Amelanchier alnifolia,48.479967,-122.829217,7.5
441685692,Amelanchier alnifolia,48.423317,-122.850633,10
441685687,Amelanchier alnifolia,48.42104,-122.82176,30
441685256,Amelanchier alnifolia,47.685475,-123.094404,213
441685246,Amelanchier alnifolia,48.883298,-121.028717,549
441685240,Amelanchier alnifolia,47.366667,-121.551389,1128
441685238,Amelanchier alnifolia,47.348333,-121.508333,1463
441685236,Amelanchier alnifolia,47.348833,-121.501433,1497
441685234,Amelanchier alnifolia,47.478972,-121.791394,630
441685232,Amelanchier alnifolia,45.981783,-121.125033,345
441685177,Amelanchier alnifolia,46.5,-119.716667,640
441685122,Amelanchier alnifolia,48.9169,-121.077367,620
441685121,Amelanchier alnifolia,45.948667,-121.719433,915
4028792531,Amelanchier alnifolia,47.247016,-122.510892,90
4028750715,Amelanchier alnifolia,48.39784,-123.304641,14
4028714860,Amelanchier alnifolia,52.376314,-123.573219,1090
4028692452,Amelanchier alnifolia,45.713342,-121.363158,92
4028682899,Amelanchier alnifolia,45.723369,-121.708017,701
4028650704,Amelanchier alnifolia,51.895146,-121.532186,963
4028626725,Amelanchier alnifolia,48.397382,-123.304597,14
4028597844,Amelanchier alnifolia,49.325245,-124.266122,3
4028597108,Amelanchier alnifolia,51.836945,-122.549774,589
4022245479,Amelanchier alnifolia,50.849667,-121.227234,1147
4022206783,Amelanchier alnifolia,49.291936,-122.773056,37
4022202687,Amelanchier alnifolia,49.057673,-122.878448,4
4022186723,Amelanchier alnifolia,49.707158,-121.414716,100
4022181722,Amelanchier alnifolia,49.030316,-121.996653,256
4022158151,Amelanchier alnifolia,48.427425,-122.888908,1
4022082655,Amelanchier alnifolia,50.841728,-121.224335,827
4022068049,Amelanchier alnifolia,52.917224,-118.800382,1036
4018563571,Amelanchier alnifolia,45.435167,-121.756338,1030
4018282502,Amelanchier alnifolia,50.694095,-121.93296,273
4018276584,Amelanchier alnifolia,45.7136,-121.700081,749
