gbifID,species,decimalLatitude,decimalLongitude,elevation
4022207009,Vaccinium parvifolium,48.851112,-123.514258,77
4022200805,Vaccinium parvifolium,49.145144,-121.903464,10
4022200649,Vaccinium parvifolium,49.11676,-122.902168,55
4022189442,Vaccinium parvifolium,49.274442,-122.215364,154
4022185337,Vaccinium parvifolium,45.088542,-123.323263,49
4022180411,Vaccinium parvifolium,49.304508,-122.919197,231
4022180362,Vaccinium parvifolium,48.460798,-123.303599,56
4022173411,Vaccinium parvifolium,51.638848,-128.091869,83
4022172430,Vaccinium parvifolium,49.037872,-122.693564,43
4022154529,Vaccinium parvifolium,49.247234,-124.349932,119
4022153707,Vaccinium parvifolium,48.374485,-123.573601,147
4022130329,Vaccinium parvifolium,48.46077,-123.303586,56
4022125355,Vaccinium parvifolium,49.545222,-124.801927,65
4022113516,Vaccinium parvifolium,48.478875,-123.546363,17
4022099405,Vaccinium parvifolium,49.280645,-122.87039,79
4022078374,Vaccinium parvifolium,45.474336,-122.534614,79
4022071357,Vaccinium parvifolium,42.864583,-122.157801,1746
4022067738,Vaccinium parvifolium,49.334853,-123.266758,36
4022055541,Vaccinium parvifolium,49.305114,-123.138673,15
4022051680,Vaccinium parvifolium,48.438167,-124.111511,48
4022039139,Vaccinium parvifolium,48.491074,-123.345249,127
4022034336,Vaccinium parvifolium,49.28414,-122.75223,34
4022029923,Vaccinium parvifolium,48.652983,-122.490764,27
4022028824,Vaccinium parvifolium,49.302231,-123.136489,22
4022026670,Vaccinium parvifolium,49.098433,-121.861167,294
4022022583,Vaccinium parvifolium,48.528416,-123.456538,110
4022014454,Vaccinium parvifolium,52.379025,-127.471451,36
4022000327,Vaccinium parvifolium,45.651113,-123.941343,5
4022000028,Vaccinium parvifolium,49.304619,-123.135458,15
4021996535,Vaccinium parvifolium,54.302089,-130.267381,63
4021994460,Vaccinium parvifolium,49.300693,-123.134786,25
4021983895,Vaccinium parvifolium,48.437344,-124.092719,55
4021968540,Vaccinium parvifolium,49.278549,-122.916214,347
4021966651,Vaccinium parvifolium,49.425933,-124.673263,65
4021964401,Vaccinium parvifolium,43.757962,-122.559487,591
4018536732,Vaccinium parvifolium,48.678445,-122.453797,542
4018533389,Vaccinium parvifolium,48.692653,-123.443445,95
4018531430,Vaccinium parvifolium,48.631092,-122.392638,436
4018517410,Vaccinium parvifolium,44.040654,-122.888529,251
4018480340,Vaccinium parvifolium,49.708327,-123.136769,175
4018350391,Vaccinium parvifolium,48.692812,-123.443497,95
4018337471,Vaccinium parvifolium,48.630512,-122.390038,365
4018272798,Vaccinium parvifolium,47.532677,-121.977584,150
4018270828,Vaccinium parvifolium,49.324888,-122.894088,54
4018261755,Vaccinium parvifolium,47.952811,-123.838936,552
4018259715,Vaccinium parvifolium,47.712612,-120.740139,648
4018258347,Vaccinium parvifolium,47.06607,-122.893153,30
4018256354,Vaccinium parvifolium,47.546897,-122.012364,159
4018250901,Vaccinium parvifolium,49.280784,-122.919329,305
4018245333,Vaccinium parvifolium,46.790202,-121.781873,1418
4018193301,Vaccinium parvifolium,48.791873,-122.617455,18
4018187860,Vaccinium parvifolium,48.493144,-123.334961,35
4018181330,Vaccinium parvifolium,47.723962,-122.196602,37
4018122734,Vaccinium parvifolium,47.405431,-123.595541,285
4018113728,Vaccinium parvifolium,48.089011,-121.928627,186
4018111341,Vaccinium parvifolium,47.708561,-122.046647,164
4015371493,Vaccinium parvifolium,49.32486,-122.894043,54
4015354330,Vaccinium parvifolium,49.33535,-123.26665,46
4015277413,Vaccinium parvifolium,49.332406,-123.266617,26
4015260741,Vaccinium parvifolium,49.247181,-122.921931,18
4015235351,Vaccinium parvifolium,47.549422,-122.167814,101
4015201290,Vaccinium parvifolium,49.335128,-123.266711,36
4015121302,Vaccinium parvifolium,49.299275,-123.138639,18
4014996230,Vaccinium parvifolium,49.305114,-123.139603,16
4014990984,Vaccinium parvifolium,48.647094,-123.737122,163
4014975849,Vaccinium parvifolium,48.810995,-123.295738,86
4014972645,Vaccinium parvifolium,50.532695,-127.447678,52
4014927274,Vaccinium parvifolium,49.305606,-123.138736,15
4014906326,Vaccinium parvifolium,48.896522,-124.958831,12
4014896224,Vaccinium parvifolium,49.305831,-123.138567,20
4014890283,Vaccinium parvifolium,49.299594,-123.139553,20
4014871216,Vaccinium parvifolium,49.305567,-123.138428,15
4014851903,Vaccinium parvifolium,48.452606,-123.480818,90
4014847992,Vaccinium parvifolium,47.434485,-122.588316,107
4011867836,Vaccinium parvifolium,49.340029,-124.676869,122
4011823855,Vaccinium parvifolium,49.347611,-124.739879,125
4011818977,Vaccinium parvifolium,45.599056,-122.801837,232
4011722403,Vaccinium parvifolium,47.528519,-121.970401,282
4011706121,Vaccinium parvifolium,49.329563,-122.669388,47
4011673776,Vaccinium parvifolium,48.6841,-123.436192,78
4011668963,Vaccinium parvifolium,48.518242,-123.409122,106
4011649702,Vaccinium parvifolium,47.416839,-123.193949,207
4011634955,Vaccinium parvifolium,48.101026,-122.592678,38
4011619675,Vaccinium parvifolium,49.988012,-125.247284,25
4011618605,Vaccinium parvifolium,46.579658,-122.615092,283
4011602684,Vaccinium parvifolium,48.050822,-123.055061,122
4009945560,Vaccinium parvifolium,47.529483,-122.019641,143
4009938224,Vaccinium parvifolium,49.299789,-122.925079,8
4009927497,Vaccinium parvifolium,48.410884,-122.652144,25
4009924559,Vaccinium parvifolium,48.658131,-122.457839,344
4009912739,Vaccinium parvifolium,49.548483,-124.69263,7
4009906537,Vaccinium parvifolium,47.654789,-122.171787,160
4009898349,Vaccinium parvifolium,46.445255,-121.867958,376
4009886540,Vaccinium parvifolium,47.058502,-122.977333,55
4009879590,Vaccinium parvifolium,44.40625,-122.476805,382
4009874527,Vaccinium parvifolium,47.020996,-122.860695,65
4009872556,Vaccinium parvifolium,44.658997,-121.87487,1048
4009863644,Vaccinium parvifolium,49.253108,-123.216758,79
4009860537,Vaccinium parvifolium,48.027666,-123.438423,794
4009845537,Vaccinium parvifolium,45.777813,-122.418451,245
4009844515,Vaccinium parvifolium,47.58036,-122.698097,84
4009841553,Vaccinium parvifolium,48.724388,-121.146378,607
4009834536,Vaccinium parvifolium,47.08197,-122.976707,35
4009832530,Vaccinium parvifolium,48.071751,-123.773087,199
4009825192,Vaccinium parvifolium,49.307152,-122.92796,10
4009813526,Vaccinium parvifolium,48.148733,-122.508909,68
4009808467,Vaccinium parvifolium,47.645985,-122.175545,159
4009795515,Vaccinium parvifolium,45.802826,-122.490959,170
4009793498,Vaccinium parvifolium,47.245336,-122.51122,92
4009783592,Vaccinium parvifolium,49.291168,-124.662674,198
4009779478,Vaccinium parvifolium,47.490232,-121.723755,239
4009776558,Vaccinium parvifolium,47.34038,-123.8425,166
4009776497,Vaccinium parvifolium,47.986849,-122.896738,41
4009761498,Vaccinium parvifolium,47.646013,-122.175222,159
4009741205,Vaccinium parvifolium,49.299503,-122.924973,8
4009739383,Vaccinium parvifolium,47.541202,-121.614343,978
4009723507,Vaccinium parvifolium,47.46209,-121.649362,1158
4009717488,Vaccinium parvifolium,45.738199,-122.104344,607
4009694501,Vaccinium parvifolium,48.341563,-122.557508,92
4009690545,Vaccinium parvifolium,47.461932,-121.649547,1125
4009684618,Vaccinium parvifolium,47.581551,-122.622262,59
4009683546,Vaccinium parvifolium,47.069348,-121.577376,660
4009675520,Vaccinium parvifolium,46.392133,-122.801252,97
4009673524,Vaccinium parvifolium,47.306701,-122.522596,41
4009673484,Vaccinium parvifolium,47.534187,-121.88694,267
4009673203,Vaccinium parvifolium,48.683163,-122.455642,383
4009666565,Vaccinium parvifolium,48.05422,-123.790548,217
4009661581,Vaccinium parvifolium,48.299103,-122.252937,306
4009660197,Vaccinium parvifolium,49.313766,-122.922234,29
4006761769,Vaccinium parvifolium,48.437545,-124.089469,63
4006751030,Vaccinium parvifolium,48.683333,-123.419053,47
4006738150,Vaccinium parvifolium,49.298983,-123.128019,22
4006704611,Vaccinium parvifolium,45.575557,-122.070182,248
4006690515,Vaccinium parvifolium,48.101343,-122.592564,38
4006640964,Vaccinium parvifolium,45.492884,-122.688288,151
4006640736,Vaccinium parvifolium,49.12598,-123.932526,85
4006640604,Vaccinium parvifolium,47.668731,-122.303724,33
4006635568,Vaccinium parvifolium,49.315739,-121.416595,354
4006632528,Vaccinium parvifolium,48.00898,-122.495575,31
4006561166,Vaccinium parvifolium,49.299222,-123.128422,22
4006525582,Vaccinium parvifolium,44.492203,-123.397881,166
4006507046,Vaccinium parvifolium,48.683875,-123.418717,49
4006503214,Vaccinium parvifolium,47.400291,-121.908464,233
3994331540,Vaccinium parvifolium,49.262209,-122.829459,169
3994324045,Vaccinium parvifolium,49.316017,-124.557494,111
3994291575,Vaccinium parvifolium,49.240781,-123.203714,40
3994291380,Vaccinium parvifolium,49.409776,-123.4588,31
3994283052,Vaccinium parvifolium,49.298364,-123.125894,11
3994279509,Vaccinium parvifolium,49.678513,-123.154407,70
3994278526,Vaccinium parvifolium,49.107712,-122.174415,432
3994276026,Vaccinium parvifolium,47.314941,-122.179642,131
3994264474,Vaccinium parvifolium,48.613695,-123.447442,234
3994263495,Vaccinium parvifolium,49.424744,-125.733833,298
3994261563,Vaccinium parvifolium,51.003758,-118.697597,406
3994255209,Vaccinium parvifolium,49.248218,-123.208228,62
3994252084,Vaccinium parvifolium,45.53579,-122.72323,164
3994248174,Vaccinium parvifolium,49.297895,-123.144909,18
3994246556,Vaccinium parvifolium,48.350978,-123.686508,164
3994244515,Vaccinium parvifolium,49.343857,-123.016965,137
3994237519,Vaccinium parvifolium,49.67822,-123.154128,70
3994237508,Vaccinium parvifolium,49.157025,-123.913608,0
3994225987,Vaccinium parvifolium,48.852765,-123.707765,27
3994217544,Vaccinium parvifolium,49.279402,-122.907172,364
3994215493,Vaccinium parvifolium,48.470985,-123.479673,56
3994204496,Vaccinium parvifolium,48.650459,-123.642097,138
3994203726,Vaccinium parvifolium,48.463762,-123.55725,79
3994202692,Vaccinium parvifolium,48.458837,-123.308075,63
3994190434,Vaccinium parvifolium,49.27353,-122.867357,52
3994187062,Vaccinium parvifolium,49.298504,-122.916245,93
3994179525,Vaccinium parvifolium,50.130225,-124.186255,685
3994169667,Vaccinium parvifolium,48.495199,-123.333135,26
3994163545,Vaccinium parvifolium,50.222625,-125.199233,19
3994162555,Vaccinium parvifolium,53.934569,-128.738574,177
3994159507,Vaccinium parvifolium,49.244167,-124.780278,87
3994154681,Vaccinium parvifolium,48.461322,-123.556787,56
3994152511,Vaccinium parvifolium,50.898604,-118.812285,402
3994151812,Vaccinium parvifolium,47.712612,-120.740139,648
3994147497,Vaccinium parvifolium,49.555656,-123.842234,357
3994137526,Vaccinium parvifolium,48.904775,-125.515376,3
3994135533,Vaccinium parvifolium,49.677313,-123.15435,72
3994134532,Vaccinium parvifolium,49.630229,-124.957584,80
3994125750,Vaccinium parvifolium,49.262447,-123.241683,98
3994125493,Vaccinium parvifolium,48.883137,-125.379544,19
3994118673,Vaccinium parvifolium,48.4622,-123.55635,61
3994116504,Vaccinium parvifolium,49.303533,-124.240082,4
3994116090,Vaccinium parvifolium,49.297823,-123.126317,16
3994114384,Vaccinium parvifolium,49.047111,-122.7594,109
3994111589,Vaccinium parvifolium,44.615131,-124.056039,7
3994104674,Vaccinium parvifolium,48.488542,-123.340407,57
3994092140,Vaccinium parvifolium,49.306118,-122.875214,41
3994083506,Vaccinium parvifolium,48.430412,-123.712922,26
3994072502,Vaccinium parvifolium,50.166524,-125.066048,44
3994071602,Vaccinium parvifolium,49.42757,-123.639717,90
3994071517,Vaccinium parvifolium,50.546887,-126.832755,11
3994067579,Vaccinium parvifolium,49.598564,-122.649742,22
3994065496,Vaccinium parvifolium,49.244167,-124.780278,87
3994060953,Vaccinium parvifolium,49.312734,-122.924788,17
3994054506,Vaccinium parvifolium,49.626713,-125.085202,145
3994053592,Vaccinium parvifolium,48.819012,-125.016748,158
3994050212,Vaccinium parvifolium,49.298314,-123.141357,17
3994049693,Vaccinium parvifolium,48.458795,-123.307992,63
3994048537,Vaccinium parvifolium,43.37265,-124.222542,22
3994047995,Vaccinium parvifolium,48.67662,-123.47995,24
3988747321,Vaccinium parvifolium,48.680202,-123.619101,189
3988734086,Vaccinium parvifolium,47.755395,-122.287155,20
3988731292,Vaccinium parvifolium,49.267208,-123.236345,89
3988711114,Vaccinium parvifolium,48.492273,-123.337087,52
3988699731,Vaccinium parvifolium,47.435478,-121.784961,573
3988667193,Vaccinium parvifolium,47.390545,-122.489901,56
3988665041,Vaccinium parvifolium,45.520038,-122.591698,143
3988637821,Vaccinium parvifolium,49.189259,-125.074203,112
3988621858,Vaccinium parvifolium,48.459192,-123.30742,63
3988575946,Vaccinium parvifolium,48.460367,-123.305755,61
3988560707,Vaccinium parvifolium,49.337156,-123.267061,55
3988520100,Vaccinium parvifolium,49.258748,-123.228392,90
3988519683,Vaccinium parvifolium,49.352295,-122.451874,204
3988501062,Vaccinium parvifolium,49.300328,-123.13387,26
3988480792,Vaccinium parvifolium,49.187195,-125.082588,149
3988451778,Vaccinium parvifolium,47.865265,-123.85218,233
3986305116,Vaccinium parvifolium,49.332783,-123.2671,26
3986304665,Vaccinium parvifolium,48.506074,-123.390294,86
3986290552,Vaccinium parvifolium,49.337017,-123.261092,105
3986289528,Vaccinium parvifolium,49.336656,-123.261836,93
3986288060,Vaccinium parvifolium,47.675415,-123.046539,319
3986285544,Vaccinium parvifolium,49.334047,-123.265919,53
3986276964,Vaccinium parvifolium,45.518733,-122.716553,215
3986258339,Vaccinium parvifolium,44.879115,-122.644958,467
3986241204,Vaccinium parvifolium,49.337053,-123.268367,36
3986191060,Vaccinium parvifolium,46.987393,-122.374317,172
3986083300,Vaccinium parvifolium,49.239262,-122.893555,16
3986062908,Vaccinium parvifolium,49.854393,-125.820831,278
3986018998,Vaccinium parvifolium,48.705528,-122.488747,60
3985954238,Vaccinium parvifolium,49.338197,-123.264169,72
3985950472,Vaccinium parvifolium,54.254155,-133.047469,41
3985935199,Vaccinium parvifolium,49.338422,-123.266864,52
3985928148,Vaccinium parvifolium,49.351124,-122.453377,233
3985886296,Vaccinium parvifolium,49.338633,-123.266494,52
3985868342,Vaccinium parvifolium,48.109006,-121.9058,127
3985866332,Vaccinium parvifolium,49.298153,-123.153192,16
3985863526,Vaccinium parvifolium,48.711688,-122.495758,44
3985862017,Vaccinium parvifolium,45.516981,-122.717169,216
3985846660,Vaccinium parvifolium,49.280663,-122.919982,333
3985775152,Vaccinium parvifolium,49.29757,-123.128311,14
3985766670,Vaccinium parvifolium,45.528245,-122.7156,203
3985727045,Vaccinium parvifolium,49.252003,-123.223167,79
3985674141,Vaccinium parvifolium,49.356499,-123.109421,72
3985664987,Vaccinium parvifolium,47.890367,-124.599578,82
3985636012,Vaccinium parvifolium,49.332729,-123.003654,89
3985622072,Vaccinium parvifolium,49.357899,-123.108963,111
3985620923,Vaccinium parvifolium,50.454288,-118.716019,573
3968371581,Vaccinium parvifolium,44.22945,-122.17535,660
3968371284,Vaccinium parvifolium,44.22945,-122.17535,660
3968371258,Vaccinium parvifolium,44.22945,-122.17535,660
3968370452,Vaccinium parvifolium,44.2333,-122.175,756
3968370309,Vaccinium parvifolium,44.23284,-122.20857,463
3966805315,Vaccinium parvifolium,49.30315,-122.917861,230
3966776305,Vaccinium parvifolium,47.890367,-124.599578,82
3966761019,Vaccinium parvifolium,48.492974,-123.338578,57
3966722256,Vaccinium parvifolium,47.67218,-122.303001,46
3966693773,Vaccinium parvifolium,49.281383,-122.909262,319
3966666321,Vaccinium parvifolium,49.296614,-123.152317,6
3966646206,Vaccinium parvifolium,48.460094,-123.560699,79
3966596242,Vaccinium parvifolium,48.46069,-123.564079,82
3966557757,Vaccinium parvifolium,47.671433,-122.3033,36
3966551814,Vaccinium parvifolium,49.00416,-125.578557,38
3966549793,Vaccinium parvifolium,47.6715,-122.306555,47
3966530114,Vaccinium parvifolium,48.502178,-123.537369,266
3966524808,Vaccinium parvifolium,47.671514,-122.306769,47
3966521283,Vaccinium parvifolium,47.442047,-121.679917,456
3966504804,Vaccinium parvifolium,49.259097,-123.229867,93
3966461272,Vaccinium parvifolium,49.295571,-123.138174,3
3966419206,Vaccinium parvifolium,43.139231,-123.648775,356
3966402784,Vaccinium parvifolium,47.709583,-122.371956,42
3966396803,Vaccinium parvifolium,47.525338,-122.115364,325
3966368523,Vaccinium parvifolium,54.310353,-130.319216,33
3966351251,Vaccinium parvifolium,48.549197,-123.49333,135
3963688546,Vaccinium parvifolium,45.740107,-121.888235,594
3963640110,Vaccinium parvifolium,48.77692,-123.929375,119
3963637033,Vaccinium parvifolium,47.206442,-122.395731,106
3963625815,Vaccinium parvifolium,48.4855,-124.280619,116
3963572237,Vaccinium parvifolium,49.307747,-122.917336,184
3963508299,Vaccinium parvifolium,49.333195,-123.008232,169
3963503843,Vaccinium parvifolium,47.671659,-122.305833,44
3963503723,Vaccinium parvifolium,44.656828,-124.04976,13
3963439246,Vaccinium parvifolium,47.694458,-121.920441,94
3963371674,Vaccinium parvifolium,48.360722,-123.595933,44
3963366305,Vaccinium parvifolium,49.330898,-123.006653,108
3963341190,Vaccinium parvifolium,45.590172,-122.80098,264
